PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=531 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=554 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=550 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=574 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=579 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=581 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=624 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=626 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=660 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=673 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=683 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=682 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=689 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=691 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=609 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=569 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=541 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=492 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=534 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=541 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=565 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=575 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=572 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=573 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=572 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=588 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=619 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=614 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=633 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=610 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=637 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=616 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=535 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=472 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=624 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=773 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=641 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=666 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=675 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=677 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=551 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=559 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=554 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=556 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=570 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=563 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=573 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=572 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=589 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=585 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=597 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=603 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=593 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=602 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=598 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=604 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=565 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=545 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=424 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=431 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=440 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=387 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=300 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=392 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=395 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=404 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=414 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=412 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=420 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=414 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=428 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=382 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=273 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=65.1 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=1.87 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=0.434 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=0.516 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=0.732 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=0.451 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=0.479 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=0.351 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=0.638 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=0.650 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=0.569 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=0.531 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=3.88 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=0.548 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=0.371 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=0.965 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=0.348 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=0.446 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=0.376 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=0.440 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=0.485 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=0.327 ms
