PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=450 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=382 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=372 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=381 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=387 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=377 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=387 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=378 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=414 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=422 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=425 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=434 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=450 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=474 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=476 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=404 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=415 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=412 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=410 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=419 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=418 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=417 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=417 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=425 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=417 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=419 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=434 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=431 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=430 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=427 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=437 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=434 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=436 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=445 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=439 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=436 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=445 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=456 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=446 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=446 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=454 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=447 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=457 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=456 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=464 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=474 ms
