PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=436 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=432 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=435 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=439 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=447 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=452 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=456 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=465 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=462 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=479 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=469 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=466 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=489 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=483 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=657 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=655 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=654 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=661 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=663 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=586 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=552 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=549 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=545 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=507 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=520 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=509 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=336 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=237 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=428 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=521 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=514 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=577 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=580 ms
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=578 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=599 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=595 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=591 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=589 ms
