PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=28.3 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=68.1 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=73.3 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=75.9 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=85.1 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=87.7 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=95.6 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=0.382 ms
